state,capital,x,y
Andhra Pradesh,Amaravati,-78,-94
Arunachal Pradesh,Itanagar,245,143.0
Assam,Dispur,197,99.0
Bihar,Patna,61,85.0
Chhattisgarh,Raipur,-18,1.0
Goa,Panaji,-165,-144.0
Gujarat,Gandhinagar,-230,21.0
Haryana,Chandigarh,-129,150
Himachal Pradesh,Shimla,-112,227.0
Jharkhand,Ranchi,40,30
Karnataka,Bengaluru ,-144,-161
Kerala,Thiruvananthapuram,-139,-240
Madhya Pradesh,Bhopal,-107,22
Maharashtra,Mumbai,-161,-55
Manipur,Imphal,228,59
Meghalaya,Shillong,155,70
Mizoram,Aizawl,200,13
Nagaland,Kohima,243,89
Odisha,Bhubaneswar,29,-25
Punjab,Chandigarh,-156,189
Rajasthan,Jaipur,-212,109
Sikkim,Gangtok,112,120
Tamil Nadu,Chennai,-88,-240
Telangana,Hyderabad,-80,-150
Tripura,Agartala,165,41
Uttar Pradesh,Lucknow,-60,115
Uttarakhand,Dehradun/Gairsain,-74,183
West Bengal,Kolkata,102,17